House_Rep_Name,House_Rep_Party,House_Rep_State,House_Rep_Vote,RepYeaPct,RepNayPct,DemYeaPct,DemNayPct
Peters,D,CA,Nay,96.8,0.5,0.5,96.3
Pettersen,D,CO,Not Voting,96.8,0.5,0.5,96.3
Pfluger,R,TX,Yea,96.8,0.5,0.5,96.3
Pingree,D,ME,Nay,96.8,0.5,0.5,96.3
Pocan,D,WI,Nay,96.8,0.5,0.5,96.3
Pou,D,NJ,Nay,96.8,0.5,0.5,96.3
Pressley,D,MA,Nay,96.8,0.5,0.5,96.3
Quigley,D,IL,Nay,96.8,0.5,0.5,96.3
Ramirez,D,IL,Nay,96.8,0.5,0.5,96.3
Randall,D,WA,Nay,96.8,0.5,0.5,96.3
Raskin,D,MD,Nay,96.8,0.5,0.5,96.3
Reschenthaler,R,PA,Yea,96.8,0.5,0.5,96.3
Riley (NY),D,NY,Nay,96.8,0.5,0.5,96.3
Rivas,D,CA,Nay,96.8,0.5,0.5,96.3
Rogers (AL),R,AL,Yea,96.8,0.5,0.5,96.3
Rogers (KY),R,KY,Yea,96.8,0.5,0.5,96.3
Rose,R,TN,Yea,96.8,0.5,0.5,96.3
Ross,D,NC,Nay,96.8,0.5,0.5,96.3
Rouzer,R,NC,Yea,96.8,0.5,0.5,96.3
Roy,R,TX,Yea,96.8,0.5,0.5,96.3
Ruiz,D,CA,Nay,96.8,0.5,0.5,96.3
Rulli,R,OH,Yea,96.8,0.5,0.5,96.3
Rutherford,R,FL,Yea,96.8,0.5,0.5,96.3
Ryan,D,NY,Nay,96.8,0.5,0.5,96.3
Salazar,R,FL,Yea,96.8,0.5,0.5,96.3
Salinas,D,OR,Nay,96.8,0.5,0.5,96.3
Sánchez,D,CA,Nay,96.8,0.5,0.5,96.3
Scalise,R,LA,Yea,96.8,0.5,0.5,96.3
Scanlon,D,PA,Nay,96.8,0.5,0.5,96.3
Schakowsky,D,IL,Nay,96.8,0.5,0.5,96.3
Schmidt,R,KS,Yea,96.8,0.5,0.5,96.3
Schneider,D,IL,Nay,96.8,0.5,0.5,96.3
Scholten,D,MI,Nay,96.8,0.5,0.5,96.3
Schrier,D,WA,Nay,96.8,0.5,0.5,96.3
Schweikert,R,AZ,Yea,96.8,0.5,0.5,96.3
Scott (VA),D,VA,Nay,96.8,0.5,0.5,96.3
"Scott, Austin",R,GA,Yea,96.8,0.5,0.5,96.3
"Scott, David",D,GA,Nay,96.8,0.5,0.5,96.3
Self,R,TX,Yea,96.8,0.5,0.5,96.3
Sessions,R,TX,Yea,96.8,0.5,0.5,96.3
Sewell,D,AL,Nay,96.8,0.5,0.5,96.3
Sherman,D,CA,Nay,96.8,0.5,0.5,96.3
Sherrill,D,NJ,Nay,96.8,0.5,0.5,96.3
Shreve,R,IN,Yea,96.8,0.5,0.5,96.3
Simon,D,CA,Nay,96.8,0.5,0.5,96.3
Simpson,R,ID,Yea,96.8,0.5,0.5,96.3
Smith (MO),R,MO,Not Voting,96.8,0.5,0.5,96.3
Smith (NE),R,NE,Yea,96.8,0.5,0.5,96.3
Smith (NJ),R,NJ,Yea,96.8,0.5,0.5,96.3
Smith (WA),D,WA,Nay,96.8,0.5,0.5,96.3
Smucker,R,PA,Yea,96.8,0.5,0.5,96.3
Sorensen,D,IL,Nay,96.8,0.5,0.5,96.3
Soto,D,FL,Nay,96.8,0.5,0.5,96.3
Spartz,R,IN,Yea,96.8,0.5,0.5,96.3
Stansbury,D,NM,Nay,96.8,0.5,0.5,96.3
Stanton,D,AZ,Nay,96.8,0.5,0.5,96.3
Stauber,R,MN,Yea,96.8,0.5,0.5,96.3
Stefanik,R,NY,Yea,96.8,0.5,0.5,96.3
Steil,R,WI,Yea,96.8,0.5,0.5,96.3
Steube,R,FL,Yea,96.8,0.5,0.5,96.3
Stevens,D,MI,Nay,96.8,0.5,0.5,96.3
Strickland,D,WA,Nay,96.8,0.5,0.5,96.3
Strong,R,AL,Yea,96.8,0.5,0.5,96.3
Stutzman,R,IN,Yea,96.8,0.5,0.5,96.3
Subramanyam,D,VA,Nay,96.8,0.5,0.5,96.3
Suozzi,D,NY,Nay,96.8,0.5,0.5,96.3
Swalwell,D,CA,Nay,96.8,0.5,0.5,96.3
Sykes,D,OH,Nay,96.8,0.5,0.5,96.3
Takano,D,CA,Nay,96.8,0.5,0.5,96.3
Taylor,R,OH,Yea,96.8,0.5,0.5,96.3
Tenney,R,NY,Yea,96.8,0.5,0.5,96.3
Thanedar,D,MI,Nay,96.8,0.5,0.5,96.3
Thompson (CA),D,CA,Nay,96.8,0.5,0.5,96.3
Thompson (MS),D,MS,Nay,96.8,0.5,0.5,96.3
Thompson (PA),R,PA,Yea,96.8,0.5,0.5,96.3
Tiffany,R,WI,Yea,96.8,0.5,0.5,96.3
Timmons,R,SC,Yea,96.8,0.5,0.5,96.3
Titus,D,NV,Nay,96.8,0.5,0.5,96.3
Tlaib,D,MI,Nay,96.8,0.5,0.5,96.3
Tokuda,D,HI,Nay,96.8,0.5,0.5,96.3
Tonko,D,NY,Nay,96.8,0.5,0.5,96.3
Torres (CA),D,CA,Nay,96.8,0.5,0.5,96.3
Torres (NY),D,NY,Nay,96.8,0.5,0.5,96.3
Trahan,D,MA,Nay,96.8,0.5,0.5,96.3
Tran,D,CA,Nay,96.8,0.5,0.5,96.3
Turner (OH),R,OH,Yea,96.8,0.5,0.5,96.3
Turner (TX),D,TX,Nay,96.8,0.5,0.5,96.3
Underwood,D,IL,Nay,96.8,0.5,0.5,96.3
Valadao,R,CA,Yea,96.8,0.5,0.5,96.3
Van Drew,R,NJ,Yea,96.8,0.5,0.5,96.3
Van Duyne,R,TX,Yea,96.8,0.5,0.5,96.3
Van Orden,R,WI,Yea,96.8,0.5,0.5,96.3
Vargas,D,CA,Nay,96.8,0.5,0.5,96.3
Vasquez,D,NM,Nay,96.8,0.5,0.5,96.3
Veasey,D,TX,Nay,96.8,0.5,0.5,96.3
Velázquez,D,NY,Nay,96.8,0.5,0.5,96.3
Vindman,D,VA,Nay,96.8,0.5,0.5,96.3
Wagner,R,MO,Yea,96.8,0.5,0.5,96.3
Walberg,R,MI,Yea,96.8,0.5,0.5,96.3
Wasserman Schultz,D,FL,Nay,96.8,0.5,0.5,96.3
Waters,D,CA,Nay,96.8,0.5,0.5,96.3
Watson Coleman,D,NJ,Nay,96.8,0.5,0.5,96.3
Weber (TX),R,TX,Yea,96.8,0.5,0.5,96.3
Webster (FL),R,FL,Yea,96.8,0.5,0.5,96.3
Westerman,R,AR,Yea,96.8,0.5,0.5,96.3
Whitesides,D,CA,Nay,96.8,0.5,0.5,96.3
Wied,R,WI,Yea,96.8,0.5,0.5,96.3
Williams (GA),D,GA,Nay,96.8,0.5,0.5,96.3
Williams (TX),R,TX,Yea,96.8,0.5,0.5,96.3
Wilson (FL),D,FL,Not Voting,96.8,0.5,0.5,96.3
Wilson (SC),R,SC,Yea,96.8,0.5,0.5,96.3
Wittman,R,VA,Yea,96.8,0.5,0.5,96.3
Womack,R,AR,Yea,96.8,0.5,0.5,96.3
Yakym,R,IN,Yea,96.8,0.5,0.5,96.3
Zinke,R,MT,Yea,96.8,0.5,0.5,96.3
